Text,Sentiment
" and Im just going into work... if we were married, we wud never see each other",negative
 Weird! Maybe all the updates just aren`t being sent to my phone  Haha,negative
Amazing day with my boyfriend. He`s a good drummer.,positive
 pansy  wtf codeh?!,negative
I should have know that 'extra hand' comment would cause trouble...  About to upload House Music and Beyond Vol. 3,negative
Just got back from a run & I`m feeling grrrrrreeeeeaat!!!,negative
 yes  and i want you to keep going if you would ;),positive
Sunburn ouch,negative
 Fun times ~ that`s my friends beer!  here`s the pic`  http://yfrog.com/053agj,positive
It appears I`m going home tomorrow...and it`s not a good thing...,positive
The graduation ceremony should be starting about now. I really wish I could be there.,negative
- I LOVE YOU!!!! YOU MAKE ME SO HAPPY!!!!,positive
 Thanks for sending the link.,positive
  wish u could rub my head too,positive
_Hodges Yup. Their loss.,positive
i`m sad...i`ll miss you grandma angie.. you were always like a 3rd grandma to me..,negative
_in_love scanton?! that`s farrr  elaine got her cartilage pierced! it`s so cute!,positive
Wake Up..... Please.,positive
" Would applaud self-validation for all sorts of good theological, psychological & sociological reasons. But agree - lighten up!",positive
 im sorry,negative
 lol exams i didn`t go to mcast or other school i finished form 5 and that`s it soo disappointed in myself,negative
These messages are teasing me! It isnt fair.,negative
 ack! I just read about your show  that`s horrible!!! No accounting for taste.,negative
" ... thx for ur msg, so awesome!  luv the new single! xoxo",positive
 last week  and I interviewed  and we told him you are the FB queen! Glad to see you both connected,positive
 and I was just gonna ask you if you wanted to go to CLUB Hidden House on sat night. hehe.,positive
5500 words and counting.  My hands hurt,negative
_ When they don`t pop well. I feel lousier after playing those.,negative
 Hi x Your websites soo cool i love using it  Thank you,positive
 pretty soon gonna have to unfollow myself from _words to cut the quickly growing 'habit' ... but I do love the challenge!,positive
OMggg. i just heard someone is gonna die on the new season of the secret life of the american teenager  noooo.,negative
i`m getting ready for tonight (teachers dinner on the beach!) but it`s raining and i hate this!,negative
 not happy,positive
I wish I can see clips of your show that you hosted. Hottie Shawn in the 80`s! and yes your still a Hottie!,positive
But on the bright side...no school,negative
I have turned into a fast food ****,negative
I hate not getting e-mail`s  going to do other stuff now...ice my toe (long story) and have some calpol (cold :S) soooo night xxxx,negative
Now I am depressed after watching so you think you can dance,negative
misses Nanny.,negative
thinks castles are fun,positive
I will move anywhere as long as it has a freaking dishwasher! I despise doing dishes,negative
" Im doing ok.  I have a 15 year old going on 35 that is driving me crazy, but that comes with the territory, I guess.",negative
Poor Kella is on meds now for an ear infection; she lost her food all over  twice at the doc`s,negative
" Yes, have to be right for church",positive
hm...still workin on my contract.hmm...i`m feelin awful..,negative
I totally forgot my phone at home this morning,negative
 Proud 17-year-old here that loves The Carpenters!!!,positive
feels sick to my stomach and idkk whyy,negative
 so cute you twitting in potuguese!,positive
 ew.  sorry zach,negative
 http://twitpic.com/4jber - aww .... then we wonder why they hate us later..... lol!!,negative
i hate it when my bff is groundedd  boooooooooo,negative
" The Star Trek in IMAX wasn`t in 3D, but it was huge on the screen.  Still worth watching.",positive
getting ready to see my cousins graduate.  gonna miss em.,negative
 **** i shouldnt have left!,negative
_law_rence &  WHY?! my head feels like the surface of the sun  underneath a beaver pelt.,negative
"Finished watching Episode 4&5 of Ruby Metaprogramming Screencasts. Lots of cool tips, great! But need to more coding practices to master.",positive
" I love the site what a hoot, really enjoy the hair cuts in Thailand, always try to time ir just right, thanks for the tip",positive
Not made it to work  couldn`t get up feelin blurgh,negative
My throat hurts and I can`t sleep.,negative
im depressed on this pretty day  Everyone either is doing something or CAN`T...bleh -.-,negative
The rain outside motivates me to sleep.,negative
 HEY BUCK!!!!  love u loads!! LOVE 'WHAT THE BUCK?!',positive
..exams.  haha just remembrd the china buffet king yesterday. vair amusing ....,positive
"hmmm dollhouse sounds pretty good, http://bit.ly/z3aZv  i think ima download it and try watching it",positive
"**** these nig*s is all on me, but they won`t get this...'Not without a check!' LMFAO",negative
thanks do the invite though,positive
 YOU LOOKED ABSOLUTELY BEAUTIFUL AND ELEGANT.,positive
"_Brown Thank you so much Natalie, hope u are well",positive
" Please send me those youtube links, Erin watched most of them but I was cooking and didn`t get to see the cowboys",positive
" That didn`t work, unfortunately.",negative
get it right! I think I am obsessed with Hydes` voice @_@  I`ve chosen a guitar song to learn for the summer! Time to perfect picking!,positive
 Good prices for bulk SMS and Premium SMS too  http://promotion.itagg.com,positive
What`s worse than a fever and sore throat? Cancelling a trip to see your little bro because of a fever and sore throat.,negative
Yea!  Headed home to change and head over to Pelham.  Sad thought... suposed to be heading over there for the NKOTB concert...,negative
 Aw it says the pic doesn`t exist anymore,negative
"Today, i did`t have lunch, cuz wel i embarrass my self with all 'school'  ok, FINAL TESTS and FINAL YEAR aaaaa! thanx God 4 That friends!",positive
my newsreader is filling up with blogs  yay! keep pm`ing me your blog sites. I love reading them!,positive
home alone and no one left me any gummy bears,negative
back from melly`s party... i had fun...  i`m sleepy now...,positive
 Haha...YAY!!! I`M CURED!!!!,positive
"Sick, sick, sick. This sucks. i can`t even breathe properly",negative
Adding names to my Twitter account and learning how to use this amazing thing!,positive
 ooh thats an early start  ive got bed planned for that time..ha..LoveYouJonesy ****,positive
Booo my best friend is leavin for the weekend. What ever will I do without her??,positive
